sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
4,0.5,-14.9303,-8.7571,2.2387,-11.4188,4947391403.4035,5003589995.2791,20820248.688,4981523667.6525,74,339620,73018.1188,26994.53
4,0.51,-15.8312,-7.9178,3.2593,-11.3936,5262292893.6974,5295804706.6417,13666664.4416,5279543128.9094,73,318719,68765.826,25475.58
4,0.52,-10.4929,-7.8629,0.9585,-8.9471,5566133539.002,5623657594.7191,23005499.2949,5597478355.8662,67,301377,64905.5961,24022.13
4,0.53,-13.2031,-8.7027,1.6843,-11.4315,5869267041.4164,5916241486.3733,16789337.5202,5893168311.4498,62,286689,61569.6592,22791.79
4,0.54,-9.6695,-7.7805,0.7619,-8.4971,6176857672.6967,6225083229.929,20564681.7897,6196935575.7746,73,271659,58567.1553,21713.2
4,0.55,-8.7299,-7.7255,0.463,-8.2279,6483986008.8933,6513124643.1321,11846906.0087,6496253755.233,65,257949,55667.9391,20652.32
4,0.56,-10.5995,-7.7255,1.0379,-8.953,6766137645.8482,6803113780.0312,13226023.3282,6784155156.0132,68,495949,105207.3901,38050.2212
4,0.57,-9.5618,-6.8212,1.0004,-8.4403,7083845346.8606,7099982799.5088,6180239.9657,7090678879.1856,58,474753,100643.9396,36423.9135
4,0.58,-8.7027,-6.8768,0.7478,-8.0226,7383078208.1681,7400643570.4771,6406948.1073,7390891659.5904,59,454222,96652.5069,34951.5769
4,0.59,-7.7255,-5.9081,0.6427,-6.8051,7662312107.686,7708789360.7799,16511016.0606,7686079887.3392,56,437862,92795.9842,33586.125
4,0.6,-9.6426,-6.7935,1.2274,-7.9695,7982331287.2407,7987127552.0315,1769585.5402,7984530622.8468,58,421047,89462.5807,32337.9904
4,0.61,-11.4671,-5.9642,2.3395,-8.6727,8287213049.5048,8300419163.1721,5067121.6317,8291923759.7403,59,404404,86073.2057,31123.6442
4,0.62,-8.7027,-6.7935,0.7837,-7.5107,8589837460.3023,8611396339.6516,8973241.6888,8605262621.7291,55,390228,82931.2079,30004.1635
4,0.63,-8.6755,-5.852,1.1529,-6.8071,8869107940.0152,8923049761.9917,20828253.1353,8893617378.2578,55,378322,80323.1239,29050.2115
4,0.64,-7.7805,-5.852,0.9369,-6.8165,9174632879.6486,9212920563.0998,14304909.6282,9191074474.327,41,364749,77572.6251,28059.3173
4,0.65,-6.8212,-4.901,0.6802,-5.8986,9465842276.0623,9507070744.2155,14914744.1628,9485974475.9966,49,355592,75295.222,27208.8365
4,0.66,-9.5618,-5.88,1.3599,-7.9677,9782199239.0749,9802928144.8653,8343263.8106,9795034704.9938,51,343110,72883.5356,26354.1635
4,0.67,-11.3908,-4.9577,2.6187,-7.0391,10079504678.9675,10102324246.2875,9004432.1976,10093831270.9591,49,333176,70743.1659,25582.9904
4,0.68,-7.8355,-5.852,0.843,-6.3759,10354899046.6842,10388476216.1446,14183095.2811,10374396130.979,41,323500,68807.682,24883.2596
4,0.69,-6.7935,-4.901,0.7872,-5.6189,10670326355.8968,10705785877.2227,13973568.7427,10692209469.3059,49,313572,66655.4617,24124.1635
4,0.7,-10.4662,-4.901,2.1645,-6.7818,10970177327.6324,10985627580.4636,6533262.085,10979171294.8825,44,305813,64961.1135,23500.8462
4,0.71,-5.88,-4.016,0.6591,-4.9387,11265564256.6069,11307595012.2541,16317517.4132,11290344182.0573,48,297620,63249.7176,22860.9808
4,0.72,-11.3879,-4.901,2.6997,-6.7605,11581346071.9907,11618995275.8721,14059163.1768,11599532721.442,40,289818,61586.8491,22281.2596
4,0.73,-5.88,-3.0857,1.0417,-4.4589,11884323434.4197,11916414114.0409,11868812.7068,11896960164.5636,44,282320,60009.4856,21717.375
4,0.74,-7.7255,-4.901,1.2231,-5.6071,12183241507.5109,12203154114.0409,7345544.6407,12191900474.4461,43,275543,58582.3405,21184.375
4,0.75,-4.901,-3.9404,0.412,-4.1877,12478920612.43,12509605611.5092,11498056.2907,12490647536.5604,42,269069,57194.3508,20681.8846
4,0.76,-5.852,-2.999,1.038,-4.6703,12790679816.3121,12800762436.6968,3594094.0506,12796126678.6279,39,262656,55817.1222,20188.8077
4,0.77,-3.9404,-2.9701,0.4202,-3.6978,13072439310.6377,13107395550.9661,13524199.3504,13093083346.815,41,256859,54571.1218,19726.4327
4,0.78,-3.9404,-3.9404,0.0,-3.9404,13372413001.0921,13406671925.3021,15282353.7018,13388485863.5667,44,250998,53318.1662,19281.5481
4,0.79,-5.852,-2.9701,1.074,-4.4159,13679437368.6666,13707068697.043,10393480.9827,13692412313.8403,41,489902,102560.3768,36299.8519
