sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
6000,0.55,-99.7263,-38.9827,9.6526,-77.3356,9.1392,6226558099.8992,827052622.0613,4415827500.5972,89,728236,78558.5308,29098.2699
6000,0.6,-90.6221,-26.3769,9.7819,-53.9601,2741381900.2904,6482645173.0449,333332465.5241,5823134080.0603,84,554614,62543.193,23219.8046
6000,0.65,-80.8521,-16.3,8.8113,-40.8304,4549036710.2456,6879771336.1487,118808145.1803,6468095743.9082,79,516922,56532.8491,20915.9437
6000,0.7,-67.5729,-16.3,8.1903,-31.7451,6449582523.2859,7314011025.3979,28751752.7754,6989373079.774,78,481450,101991.6348,36889.4419
6000,0.75,-65.8219,-7.0,7.6635,-24.1295,7335125388.0267,7740539195.2706,6850517.7062,7491403685.8074,75,449592,95273.9521,34458.7676
